   1: UNIQUE_HIDEOUT                                                   : Hideout Construction Kit
  60: T8_FARM_SWAMPDRAGON_FW_THETFORD_BABY                             : Baby Elite Swamp Salamander
  61: T8_FARM_GREYWOLF_FW_CAERLEON_BABY                                : Elite Greywolf Pup
  62: T6_FARM_DIREWOLF_GROWN                                           : Tame Direwolf
  63: T7_FARM_DIREBOAR_GROWN                                           : Tame Direboar
  64: T8_FARM_DIREBEAR_GROWN                                           : Tame Direbear
  65: T7_FARM_SWAMPDRAGON_GROWN                                        : Tame Swamp Dragon
  66: T8_FARM_MAMMOTH_GROWN                                            : Tame Mammoth
  67: T5_FARM_COUGAR_GROWN                                             : Tame Swiftclaw
  68: T8_FARM_DIREWOLF_GROWN                                           : Tame Ghostwolf
  69: T4_FARM_GIANTSTAG_GROWN                                          : Adept's Tame Giant Stag
  70: T6_FARM_GIANTSTAG_GROWN                                          : Master's Tame Giant Stag
  71: T5_FARM_MOABIRD_FW_BRIDGEWATCH_GROWN                             : Tame Moabird
  72: T5_FARM_DIREBEAR_FW_FORTSTERLING_GROWN                           : Tame Winter Bear
  73: T5_FARM_DIREBOAR_FW_LYMHURST_GROWN                               : Tame Wild Boar
  74: T5_FARM_RAM_FW_MARTLOCK_GROWN                                    : Tame Bighorn Ram
  75: T5_FARM_SWAMPDRAGON_FW_THETFORD_GROWN                            : Tame Swamp Salamander
  76: T5_FARM_GREYWOLF_FW_CAERLEON_GROWN                               : Tame Greywolf
  77: T8_FARM_MOABIRD_FW_BRIDGEWATCH_GROWN                             : Tame Elite Terrorbird
  78: T8_FARM_DIREBEAR_FW_FORTSTERLING_GROWN                           : Tame Elite Winterbear
  79: T8_FARM_DIREBOAR_FW_LYMHURST_GROWN                               : Tame Elite Wildboar
  80: T8_FARM_RAM_FW_MARTLOCK_GROWN                                    : Tame Elite Bighorn Ram
  81: T8_FARM_SWAMPDRAGON_FW_THETFORD_GROWN                            : Tame Elite Swamp Salamander
  82: T8_FARM_GREYWOLF_FW_CAERLEON_GROWN                               : Tame Elite Greywolf
  83: T3_FARM_CHICKEN_BABY                                             : Baby Chickens
  84: T4_FARM_GOAT_BABY                                                : Kid
  85: T5_FARM_GOOSE_BABY                                               : Gosling
  86: T6_FARM_SHEEP_BABY                                               : Lamb
  87: T7_FARM_PIG_BABY                                                 : Piglet
  88: T8_FARM_COW_BABY                                                 : Calf
  89: T3_FARM_CHICKEN_GROWN                                            : Chicken
  90: T4_FARM_GOAT_GROWN                                               : Goat
  91: T5_FARM_GOOSE_GROWN                                              : Goose
  92: T6_FARM_SHEEP_GROWN                                              : Sheep
  93: T7_FARM_PIG_GROWN                                                : Pig
  94: T8_FARM_COW_GROWN                                                : Cow
  95: T6_MOUNTUPGRADE_GIANTSTAG_XMAS                                   : Decorative Stag Bridle
  96: UNIQUE_MOUNTUPGRADE_RAM_XMAS                                     : Decorative Ram Bridle
  97: T5_MOUNTUPGRADE_HORSE_CURSE                                      : Necromantic Elixir
  98: T8_MOUNTUPGRADE_HORSE_CURSE                                      : Spectral Mask
  99: T8_MOUNTUPGRADE_COUGAR_KEEPER                                    : Sacred Bone Marrow
 100: T5_MOUNTUPGRADE_HORSE_MORGANA                                    : Morgana Mare Saddle
 101: T8_MOUNTUPGRADE_HORSE_MORGANA                                    : Infernal Horseshoes
 102: T1_CARROT                                                        : Carrots
 103: T2_BEAN                                                          : Beans
 104: T3_WHEAT                                                         : Sheaf of Wheat
 105: T4_TURNIP                                                        : Turnips
 106: T5_CABBAGE                                                       : Cabbage
 107: T6_POTATO                                                        : Potatoes
 108: T7_CORN                                                          : Bundle of Corn
 109: T8_PUMPKIN                                                       : Pumpkin
 110: T2_AGARIC                                                        : Arcane Agaric
 111: T3_COMFREY                                                       : Brightleaf Comfrey
 112: T4_BURDOCK                                                       : Crenellated Burdock
 113: T5_TEASEL                                                        : Dragon Teasel
 114: T6_FOXGLOVE                                                      : Elusive Foxglove
 115: T7_MULLEIN                                                       : Firetouched Mullein
 116: T8_YARROW                                                        : Ghoul Yarrow
 117: T3_EGG                                                           : Hen Eggs
 118: T4_MILK                                                          : Goat's Milk
 119: T5_EGG                                                           : Goose Eggs
 120: T6_MILK                                                          : Sheep's Milk
 121: T8_MILK                                                          : Cow's Milk
 122: T1_FISH_FRESHWATER_ALL_COMMON                                    : Common Rudd
 123: T2_FISH_FRESHWATER_ALL_COMMON                                    : Striped Carp
 124: T3_FISH_FRESHWATER_ALL_COMMON                                    : Albion Perch
 125: T4_FISH_FRESHWATER_ALL_COMMON                                    : Bluescale Pike
 126: T5_FISH_FRESHWATER_ALL_COMMON                                    : Spotted Trout
 127: T6_FISH_FRESHWATER_ALL_COMMON                                    : Brightscale Zander
 128: T7_FISH_FRESHWATER_ALL_COMMON                                    : Danglemouth Catfish
 129: T8_FISH_FRESHWATER_ALL_COMMON                                    : River Sturgeon
 130: T1_FISH_SALTWATER_ALL_COMMON                                     : Common Herring
 131: T2_FISH_SALTWATER_ALL_COMMON                                     : Striped Mackerel
 132: T3_FISH_SALTWATER_ALL_COMMON                                     : Flatshore Plaice
 133: T4_FISH_SALTWATER_ALL_COMMON                                     : Bluescale Cod
 134: T5_FISH_SALTWATER_ALL_COMMON                                     : Spotted Wolffish
 135: T6_FISH_SALTWATER_ALL_COMMON                                     : Strongfin Salmon
 136: T7_FISH_SALTWATER_ALL_COMMON                                     : Bluefin Tuna
 137: T8_FISH_SALTWATER_ALL_COMMON                                     : Steelscale Swordfish
 138: T3_FISH_FRESHWATER_FOREST_RARE                                   : Greenriver Eel
 139: T5_FISH_FRESHWATER_FOREST_RARE                                   : Redspring Eel
 140: T7_FISH_FRESHWATER_FOREST_RARE                                   : Deadwater Eel
 141: T3_FISH_FRESHWATER_MOUNTAIN_RARE                                 : Upland Coldeye
 142: T5_FISH_FRESHWATER_MOUNTAIN_RARE                                 : Mountain Blindeye
 143: T7_FISH_FRESHWATER_MOUNTAIN_RARE                                 : Frostpeak Deadeye
 144: T3_FISH_FRESHWATER_HIGHLANDS_RARE                                : Stonestream Lurcher
 145: T5_FISH_FRESHWATER_HIGHLANDS_RARE                                : Rushwater Lurcher
 146: T7_FISH_FRESHWATER_HIGHLANDS_RARE                                : Thunderfall Lurcher
 147: T3_FISH_FRESHWATER_STEPPE_RARE                                   : Lowriver Crab
 148: T5_FISH_FRESHWATER_STEPPE_RARE                                   : Drybrook Crab
 149: T7_FISH_FRESHWATER_STEPPE_RARE                                   : Dusthole Crab
 150: T3_FISH_FRESHWATER_SWAMP_RARE                                    : Greenmoor Clam
 151: T5_FISH_FRESHWATER_SWAMP_RARE                                    : Murkwater Clam
 152: T7_FISH_FRESHWATER_SWAMP_RARE                                    : Blackbog Clam
 153: T3_FISH_SALTWATER_ALL_RARE                                       : Shallowshore Squid
 154: T5_FISH_SALTWATER_ALL_RARE                                       : Midwater Octopus
 155: T7_FISH_SALTWATER_ALL_RARE                                       : Deepwater Kraken
 156: T3_FISH_FRESHWATER_AVALON_RARE                                   : Whitefog Snapper
 157: T5_FISH_FRESHWATER_AVALON_RARE                                   : Clearhaze Snapper
 158: T7_FISH_FRESHWATER_AVALON_RARE                                   : Puremist Snapper
 159: T1_SEAWEED                                                       : Seaweed
 160: T8_FISH_SALTWATER_ALL_BOSS_SHARK                                 : Shark
 161: T1_FISHCHOPS                                                     : Chopped Fish
 162: T1_FISHSAUCE_LEVEL1                                              : Basic Fish Sauce
 163: T1_FISHSAUCE_LEVEL2                                              : Fancy Fish Sauce
 164: T1_FISHSAUCE_LEVEL3                                              : Special Fish Sauce
 165: TREASURE_KNOWLEDGE_RARITY1                                       : Corrupted Scroll
 166: TREASURE_KNOWLEDGE_RARITY2                                       : Thin Booklet
 167: TREASURE_KNOWLEDGE_RARITY3                                       : Ancient Tome
 168: TREASURE_SILVERWARE_RARITY1                                      : Silver Cup
 169: TREASURE_SILVERWARE_RARITY2                                      : Silver Mirror
 170: TREASURE_SILVERWARE_RARITY3                                      : Silver Candelabrum
 171: TREASURE_DECORATIVE_RARITY1                                      : Simple Stone Toy
 172: TREASURE_DECORATIVE_RARITY2                                      : Stone Mask
 173: TREASURE_DECORATIVE_RARITY3                                      : Stone Idol
 174: TREASURE_CEREMONIAL_RARITY1                                      : Ornamental Scepter
 175: TREASURE_CEREMONIAL_RARITY2                                      : Globus Cruciger
 176: TREASURE_CEREMONIAL_RARITY3                                      : Golden Crown
 177: TREASURE_TRIBAL_RARITY1                                          : Feather Talisman
 178: TREASURE_TRIBAL_RARITY2                                          : Dreamcatcher
 179: TREASURE_TRIBAL_RARITY3                                          : Holy Fetish
 180: TREASURE_RITUAL_RARITY1                                          : Ritual Candles
 181: TREASURE_RITUAL_RARITY2                                          : Blood Chalice
 182: TREASURE_RITUAL_RARITY3                                          : Sacrificial Dagger
 183: TREASURE_AVALON_RARITY1                                          : Golden Frame
 184: TREASURE_AVALON_RARITY2                                          : Golden Gyroscope
 185: TREASURE_AVALON_RARITY3                                          : Golden Sextant
 186: QUESTITEM_TUTORIAL_HERETIC_PLANS                                 
 187: QUESTITEM_TRANSFER_LETTER                                        : Letter of Transfer
 188: QUESTITEM_LIGHT_BLUEPRINTS                                       : Delivery: Blueprints
 189: QUESTITEM_LIGHT_MANUSCRIPTS                                      : Delivery: Artistic Manuscripts
 190: QUESTITEM_LIGHT_SURVEYS                                          : Delivery: Geomantic Surveys
 191: QUESTITEM_HEAVY_MORTAR                                           : Delivery: Mortar
 192: QUESTITEM_HEAVY_CRATE                                            : Delivery: Crates
 193: QUESTITEM_HEAVY_BARREL                                           : Delivery: Barrels
 194: QUESTITEM_LIGHT_FUR                                              : Delivery: Heavy Fur
 195: QUESTITEM_LIGHT_THEPACKAGE                                       : Delivery: "The Package"
 196: QUESTITEM_LIGHT_PATROLROUTE                                      : Delivery: Patrol Route
 197: QUESTITEM_HEAVY_MOONSHINE                                        : Delivery: Geoff the Brigand's All-Natural Enriched Moonshine
 198: QUESTITEM_LIGHT_KITTENS                                          : Delivery: Sack of Kittens
 199: QUESTITEM_LIGHT_BEES                                             : Delivery: Beehives
 200: QUESTITEM_LIGHT_OLDCLOTHES                                       : Delivery: Old Clothes
 201: QUESTITEM_HEAVY_FARMTOOLS                                        : Delivery: Farmyard Tools
 202: QUESTITEM_HEAVY_MANURE                                           : Delivery: Pile of Manure
 203: QUESTITEM_LIGHT_ASSASSINATION                                    : Delivery: Assassination Order
 204: QUESTITEM_LIGHT_CASUALTIES                                       : Delivery: Casualty Report
 205: QUESTITEM_LIGHT_RINGS                                            : Delivery: Regimental Rings
 206: QUESTITEM_HEAVY_MEDICAL                                          : Delivery: Medical Supplies
 207: QUESTITEM_HEAVY_FIREBARREL                                       : Delivery: Sensitive Barrels
 208: QUESTITEM_CARAVAN_TRADEPACK_CAERLEON_LIGHT                       
 209: QUESTITEM_CARAVAN_TRADEPACK_CAERLEON_MEDIUM                      
 210: QUESTITEM_CARAVAN_TRADEPACK_CAERLEON_HEAVY                       
 211: QUESTITEM_CARAVAN_TRADEPACK_SWAMP_LIGHT                          
 212: QUESTITEM_CARAVAN_TRADEPACK_SWAMP_MEDIUM                         
 213: QUESTITEM_CARAVAN_TRADEPACK_SWAMP_HEAVY                          
 214: QUESTITEM_CARAVAN_TRADEPACK_FOREST_LIGHT                         
 215: QUESTITEM_CARAVAN_TRADEPACK_FOREST_MEDIUM                        
 216: QUESTITEM_CARAVAN_TRADEPACK_FOREST_HEAVY                         
 217: QUESTITEM_CARAVAN_TRADEPACK_STEPPE_LIGHT                         
 218: QUESTITEM_CARAVAN_TRADEPACK_STEPPE_MEDIUM                        
 219: QUESTITEM_CARAVAN_TRADEPACK_STEPPE_HEAVY                         
 220: QUESTITEM_CARAVAN_TRADEPACK_HIGHLAND_LIGHT                       
 221: QUESTITEM_CARAVAN_TRADEPACK_HIGHLAND_MEDIUM                      
 222: QUESTITEM_CARAVAN_TRADEPACK_HIGHLAND_HEAVY                       
 223: QUESTITEM_CARAVAN_TRADEPACK_MOUNTAIN_LIGHT                       
 224: QUESTITEM_CARAVAN_TRADEPACK_MOUNTAIN_MEDIUM                      
 225: QUESTITEM_CARAVAN_TRADEPACK_MOUNTAIN_HEAVY                       
 226: QUESTITEM_TOKEN_ARENA_UNRANKED                                   : Arena Sigil
 227: QUESTITEM_TOKEN_AVALON                                           : Avalonian Energy
 228: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_WINTER_EVENT                   
 229: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 230: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 231: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 232: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 233: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 234: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 235: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 236: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 237: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 238: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 239: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 240: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 241: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 242: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 243: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 244: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 245: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 246: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 247: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 248: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 249: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 250: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 251: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 252: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 253: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 254: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 255: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 256: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 257: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 258: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 259: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 260: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 261: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 262: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 263: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 264: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 265: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_KEEPER_STONEWARS               
 266: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_KEEPER_STONEWARS               
 267: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_KEEPER_STONEWARS               
 268: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_KEEPER_STONEWARS               
 269: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_KEEPER_STONEWARS               
 270: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_KEEPER_STONEWARS               
 271: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_KEEPER_STONEWARS               
 272: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_KEEPER_STONEWARS               
 273: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_KEEPER_STONEWARS               
 274: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_KEEPER_STONEWARS              
 275: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_KEEPER_STONEWARS              
 276: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_KEEPER_STONEWARS              
 277: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_KEEPER_STONEWARS              
 278: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_KEEPER_STONEWARS              
 279: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_KEEPER_STONEWARS              
 280: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_KEEPER_STONEWARS              
 281: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_KEEPER_STONEWARS              
 282: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_KEEPER_STONEWARS              
 283: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 284: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 285: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 286: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 287: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 288: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 289: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 290: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 291: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 292: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 293: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 294: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 295: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 296: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 297: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 298: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 299: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 300: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 301: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 302: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 303: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 304: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 305: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 306: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 307: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 308: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 309: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 310: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 311: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 312: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 313: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 314: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 315: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 316: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 317: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 318: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 319: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_KEEPER_MUSHROOM                
 320: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_KEEPER_MUSHROOM                
 321: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_KEEPER_MUSHROOM                
 322: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_KEEPER_MUSHROOM                
 323: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_KEEPER_MUSHROOM                
 324: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_KEEPER_MUSHROOM                
 325: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_KEEPER_MUSHROOM                
 326: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_KEEPER_MUSHROOM                
 327: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_KEEPER_MUSHROOM                
 328: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_KEEPER_MUSHROOM               
 329: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_KEEPER_MUSHROOM               
 330: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_KEEPER_MUSHROOM               
 331: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_KEEPER_MUSHROOM               
 332: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_KEEPER_MUSHROOM               
 333: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_KEEPER_MUSHROOM               
 334: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_KEEPER_MUSHROOM               
 335: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_KEEPER_MUSHROOM               
 336: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_KEEPER_MUSHROOM               
 337: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_MORGANA_TRHEESISTERS           
